table_name,column_name
contract_vo_status,contract_type
contract_vo_status,contractor_name
contract_vo_status,consultant_name
key_risks,rating
key_risks,risk_category
key_risks,risk_discipline
key_risks,risk_owner
project_management,stage_status
project_management,sub_stage
project_status,stage_status
project_status,sub_stage
project_status,consultant
project_status,contractor
project_status,pmc_consultant
project_status,supervision_consultant
project_status,project_phase_category
project_status,delivery_project_manager_avatar
project_status,design_manager_avatar
project_status,design_manager
project_status,delivery_project_manager
project_summary,location
project_summary,sub_location
project_summary,executive_director
project_summary,design_executive_director
project_summary,delivery_project_manager
project_summary,next_steps_to_advance_progress
project_summary,non_recoverable_delay_justification
project_summary,mitigation_recovery_plan
project_summary,reason_for_delay
project_summary,other_reason_for_delay
project_summary,project_classification
project_summary,portfolio_manager
project_summary,controls_manager
project_summary,entity_category
project_summary,project_pricing_type
project_summary,procurement_manager
project_summary,director
project_summary,reason_for_delay
project_summary,reason_for_delay_code
project_summary,next_steps_to_advance_progress_code
project_summary,non_recoverable_delay_justification_code
project_summary,mitigation_recovery_plan_code
project_summary,portfolio_manager_avatar
project_summary,procurement_manager_avatar
project_summary,director_avatar
project_summary,design_project_manager_avatar
project_summary,executive_director_avatar
project_summary,controls_manager_avatar
project_summary,delivery_project_manager_avatar
project_summary,design_project_owner_avatar
key_achievements,stage_status
key_achievements,sub_stage
project_milestone,milestone_number
key_risks,stage_status
key_risks,sub_stage
project_summary,procurement_manager
project_status,procurement_manager
project_status,phase
project_status,project_phase_category
lookup_project_to_phase,project_phase_category
lookup_project_to_project_phase_category,project_phase_category
contract_vo_status,phase
project_management,phase
key_risks,phase
authority_approvals_tracking,phase
key_achievements,phase
project_summary,decree_files
project_summary,plot_plan_files
project_summary,static_images_files
project_summary,dynamic_images_files
project_summary,additional_documents_files
project_summary,progress_videos
project_summary,project_management_files
project_management,phase
feedback,feedback_attachments
project_milestone,letter_reference_attachment
project_status,pte_attachment
project_status,forecast_completion_last_week
project_status,actual_progress_percentage_of_last_week
project_status,actual_progress_percentage_for_last_week
lookup_project_to_phase,category
